i,Heat,Efficiency,WaterUse,WaterLimit, CAPEX_USD , OPEX_USD ,SystemSize
Animas_District,94.98,0.081,69261,124135,16546858.00,2047243.00,3.34
Madonna_Mine,118.03,0.105,52524,162508,28538294.00,1804145.00,3.56
Cooley_Gravel_Co_Pits,109.28,0.093,54849,163251,22578786.00,1464291.00,3.35
Bachelor_Mine,103.95,0.1,76957,170994,27396862.00,2220693.00,3.18
Ophir,86.24,0.116,68193,178087,19800744.00,2027097.00,3.24
Erie_Mine,86.24,0.09,50276,198068,28432848.00,1243925.00,3.92
Colorado_Central_Mine,82.32,0.096,53044,161304,20838025.00,2366391.00,3.41
Lamartine_Mine,114.65,0.11,69905,145837,15162565.00,2233806.00,3.73
Carter-Raymond_project,104.04,0.089,50152,183615,28580730.00,2424700.00,4.01
Pitch_Mine,108.32,0.083,54824,141667,16369300.00,2088579.00,4.38
Schwartzwalder_Mine,80.82,0.092,66462,155118,19789705.00,1920123.00,3.08
Sneffels_-_Red_Mountain_District,118.8,0.086,70757,126277,29250930.00,1627365.00,4.6
Colorado-American_Mine,113.3,0.117,69559,122028,29259107.00,2399093.00,4.26
Goldfield_Consolidated_Mines_Co.,88.49,0.112,56728,197012,23601568.00,2299096.00,3.16
Osceola_District_Placer_Deposits,87.27,0.105,71365,186878,24477558.00,1067828.00,4.75
Rossi_Gold_Mine,87.34,0.115,57117,175678,21726683.00,1039550.00,4.84
Tuscarora_Deposit,92.17,0.112,59762,152716,19398162.00,1564695.00,3.12
Searchlight_District,100.99,0.087,72395,133864,19929968.00,2215830.00,3.55
Ruth_Mine,97.28,0.116,69489,132515,25087777.00,2480914.00,4.61
Mason_Valley_Mine,91.65,0.102,75477,140019,26285618.00,1225625.00,4.5
Rio_Tinto_Mine,104.47,0.112,69728,163938,26873686.00,1891196.00,3.37
Halifax_Tonopah_Mining_Co.,85.58,0.116,67049,177168,26844272.00,1571336.00,3.42
Jim_Butler_Tonopah_Mining_Co.,91.69,0.093,52810,172816,16368092.00,2454872.00,3.74
Mac_Namara_Mining_Co.,94.65,0.084,61031,142395,22416305.00,2263178.00,3.97
Montana_-_Tonopah_Mining_Co.,98.24,0.089,57956,196389,15863381.00,2257493.00,4.24
Tonopah_Belmont_Development_Co.,111.41,0.097,57320,179032,23242933.00,1703040.00,3.74
Tonopah_Midway_Mining_Co.,87.99,0.113,79190,164348,21622958.00,1622229.00,3.93
Diamond_Mine,100.57,0.114,61793,168938,28315563.00,1410111.00,4.49
New_Potosi_Mine,103.7,0.08,76761,153568,20263725.00,1084563.00,3.07
Buckeye_and_Ohio,81.86,0.1,68934,139818,16756005.00,2297084.00,3.5
Grand_Prize,104.3,0.097,73844,148478,17144875.00,2219352.00,4.43
Navajo,86.82,0.089,65079,180628,26422659.00,2499577.00,4.79
North_Belle_Isle,82.6,0.085,67307,121151,24273271.00,2494955.00,4.02
Tonopah_Extension_Mining_Co.,117.96,0.094,64776,129286,16516840.00,1833148.00,4.06
Mineral_Hill_Mines,118.63,0.118,55857,123680,16261602.00,2153481.00,3.21
Argentum_Mining_Co.,112.34,0.093,71674,123258,25514537.00,2417149.00,3.89
Treasure_Hill_Mine_Area,92.18,0.101,58423,188437,16091445.00,2274471.00,4.07
Mountain_View_Mine,83.91,0.108,50729,176293,27327901.00,1371022.00,3.48
Wall_Street_Mine,107.37,0.095,69364,157934,25593633.00,1675816.00,3.54
Wheeler_Mine,97.61,0.119,55313,127827,16220232.00,1193739.00,3.75
Carlin_Gold_Mine,84.88,0.118,78214,159329,16272566.00,2431077.00,3.04
American_Canyon_Placers,99.81,0.09,78618,157878,29799594.00,1909262.00,3.64
Gold_Hill_Mine,81.38,0.1,77446,133856,20614062.00,1342964.00,3.42
Sunshine_Mine_South,116.37,0.092,61105,154708,20559632.00,2007551.00,3.65
Mercur_Mining_District,90.35,0.091,50464,151880,27191994.00,1927192.00,3.24
Hecla_Shaft,106.5,0.081,77850,169268,29208729.00,1537244.00,4.78
Homestake_Mine,92.47,0.104,62846,170807,29790016.00,1170336.00,4.19
San_Juan_Shaft,100.8,0.1,79000,123624,26300673.00,2007360.00,4.36
Standard_Two_Mine,101.87,0.082,78909,149969,20643894.00,1780462.00,4.58
West_Incline_and_Continental_Incline,87.39,0.091,75590,170069,16252511.00,2158478.00,4
Velvet_Shaft,118.78,0.116,58833,160251,26657204.00,1780245.00,3.17
Louise_Tunnel,111.01,0.09,61553,188519,23376064.00,2278272.00,4.07
Blue_Cap,117.58,0.086,75534,172695,21363330.00,1827860.00,4.17
Vanadium_Queen_Mine,115.79,0.1,59508,133035,28595316.00,1841407.00,4.49
Firefly_Pigmay,103.92,0.119,55085,125645,16667962.00,2314980.00,3.86
Prospector_Mine,116.87,0.09,66704,171394,22389377.00,1605224.00,3.26
Aceite_#2_Mine,83.54,0.107,78085,122121,15170305.00,1201023.00,3.57
Cometoite_#1_Mine,87.84,0.11,70881,166862,22029910.00,1043174.00,3.73
Cometoite_#1_East_Mine,81.81,0.09,67102,195218,15844549.00,2132706.00,4.29
Incline_#8_West_and_#8_Incline_Mine,93.01,0.109,52915,166038,16782269.00,1930464.00,4.14
United_Prospectors_Shaft_Mine,95.55,0.095,68450,151054,16762894.00,2056120.00,3.71
Incline_#3_Mine,90.85,0.105,79702,171463,24738155.00,1319446.00,4.97
Newell_Shaft_Mine,113.15,0.105,54203,156660,26190673.00,1204557.00,4.21
Calyx_3_Mine,94.27,0.101,65550,163649,23750531.00,1021817.00,3.47
Elva_M._Group,91.24,0.084,76321,195317,29432588.00,1525881.00,3.2
Crescent_Creek_Imperial_and_North_Wash_Placers,101.71,0.113,72223,150888,20623059.00,1884877.00,3.31
Annie_Laurie_Mine,85.64,0.093,70910,196895,19285681.00,1588366.00,3.49
Century-Susannah_Mines,112.09,0.087,71075,192428,28028987.00,1656212.00,3.32
Overland_Mine,82.98,0.082,60785,135663,18353938.00,2356238.00,3.37
Maria_Mine,119.48,0.104,58808,125549,29448338.00,1522383.00,3.57
Plomosa_Placers,110.89,0.107,74281,128062,15182317.00,1770984.00,3.35
Copperstone,87.95,0.081,74303,121458,29548182.00,2175480.00,4.79
Lowell_Mine,80.22,0.1,76012,127555,15647399.00,1594814.00,3.16
Junction_Mine,112.62,0.089,77397,174641,28367147.00,1933130.00,4.05
El_Tiro_Open_Pit_Mine,108.27,0.106,65340,125695,22915517.00,2293546.00,3.82
Lavender_Pit,109.16,0.087,65045,145518,29894472.00,2424281.00,4.96
Czar_Shaft,110.85,0.108,73949,187590,16106948.00,1220610.00,3.22
Mine_No._13_Mesa_1,82.96,0.095,69499,121862,23307814.00,2389881.00,3.8
Mine_No._15_Mesa_1,94.34,0.117,71059,185157,29539538.00,1738174.00,4.94
Mine_No._11_Mesa_1,84.63,0.086,73874,142548,22846468.00,1387367.00,4.73
Mine_No._14_Mesa_1,114.52,0.094,76700,129453,24440980.00,1688704.00,4.63
Mesa_1_1/2_Mine,104.93,0.085,60140,175739,25436230.00,2470049.00,3.52
Mesa_1_1/2_West_Mine,93.24,0.117,61267,170315,21818116.00,1738927.00,3.34
Mesa_1_3/4_Incline,82.54,0.115,52819,190198,24413371.00,1493127.00,4.34
Mine_No._2_P-21,92.44,0.09,67348,178806,23764715.00,1950101.00,4.86
Mine_No._2_P-150,93.01,0.106,51078,184278,28517370.00,1360218.00,4.11
Mesa_2_Pit,109.18,0.113,63968,142563,15681696.00,1113795.00,4.14
Mesa_2_1/4_Mine,105.5,0.102,66279,134195,19214448.00,1193320.00,3.56
Mesa_2_1/2_Mine,115.49,0.101,58596,180049,29256172.00,1192069.00,4.54
Mesa_3_Mine,98.89,0.09,67725,184547,28353957.00,1227854.00,3.37
Mesa_3_West_Mine,84.78,0.084,50915,199240,21834851.00,1208241.00,3.65
Mine_No._3_Mesa_4,108.53,0.116,51120,153009,24301989.00,1961312.00,3.85
Mine_No._2_Mesa_4,110.43,0.116,74678,149761,19160718.00,1272820.00,4.02
West_Mine_Mesa_4,102.45,0.105,60806,182113,17821817.00,1518501.00,3.48
South_Portal_Frank_No._1_Mine,110.84,0.094,53812,147264,21955476.00,2345183.00,3.23
North_Portal_Frank_No._1_Mine,99.75,0.094,65667,194461,20300283.00,1710942.00,4.22
Mesa_5_Mine,100.91,0.109,73100,188673,23754842.00,2001337.00,3.58
Vulture_Placers,97.1,0.116,56475,154320,16166020.00,1258480.00,4.16
Dutchman_Claim,81.02,0.115,68687,180070,29615922.00,1288434.00,3.31
Little_Dick_Claim,84.32,0.111,52560,180363,29793161.00,1061303.00,3.96
